id,Lat,Lon,VAP,RHU,PRS,PWV,dataset
481,27.15,110.73,22.1,100,972.8,32.1231,train
482,27.15,112.29,22.01,88,996.9,43.169,train
483,27.15,112.42,22.83,93,999.2,54.3879,train
484,27.15,112.8,23.18,95,997.4,56.0125,train
485,27.15,113.37,22.95,89,997.2,44.1526,test
486,27.15,113.53,22.2,95,990.7,32.7296,train
487,27.15,113.66,23.08,100,983.8,45.5441,train
488,27.16,113.31,22.06,85,991.8,38.201,train
489,27.17,111.9,22.86,96,979.6,49.8279,train
490,27.18,109.13,20.3,93,960.8,33.4128,test
491,27.18,111.45,21.12,95,973.3,46.8137,train
492,27.18,113.15,20.64,81,993.3,44.2014,train
493,27.19,110.17,21.55,100,973,41.5797,train
494,27.19,110.4,22.24,100,952.1,47.9277,train
495,27.19,111.58,23.08,100,981.1,41.8668,test
496,27.19,112.23,27.25,100,994.2,57.6529,train
497,27.2,112.49,24.25,100,998.2,57.0274,train
498,27.2,113.19,22.89,82,994.2,38.4571,train
499,27.21,109.84,20.74,91,980.4,40.3878,train
500,27.21,111.45,22.94,100,978.7,45.2955,test
501,27.21,111.58,22.76,98,981.9,39.9505,train
502,27.21,112.87,23.67,97,999.2,53.8219,train
503,27.21,113.58,22.86,96,984.3,49.6588,train
504,27.22,110.67,21.88,99,969.4,48.9697,train
505,27.22,112.31,21.06,89,987.2,52.311,test
506,27.22,112.75,22.07,91,998.9,51.7673,train
507,27.22,113.03,22.55,93,997.7,53.3868,train
508,27.22,113.11,22.62,95,992.8,55.8764,train
509,27.22,113.73,21.88,99,975.1,42.9128,train
510,27.22,113.8,21.28,100,959.7,40.9079,test
511,27.23,109.29,20.21,98,955.2,33.4177,train
512,27.23,109.73,21.88,96,977,46.35,train
513,27.23,113.3,23.73,92,989,53.5809,train
514,27.23,113.43,21.65,85,995.3,47.3145,train
515,27.24,111.37,17.68,79,980.3,29.1095,test
516,27.24,111.74,22.37,100,974,46.1,train
517,27.24,112.84,20.33,87,968.9,45.8483,train
518,27.25,112.36,21.83,94,993.2,44.1086,train
519,27.25,113.22,19.51,94,949.1,27.6026,train
520,27.26,111.15,21.82,100,971.5,38.1141,test
521,27.26,112.84,22.73,92,990,57.4765,train
522,27.26,113.7,23.37,100,986.3,45.1549,train
523,27.28,112.94,22.51,90,1000.7,53.4137,train
524,27.28,113.57,23.12,93,995.1,50.8569,train
525,27.29,112.09,21.36,87,995,51.1404,test
526,27.3,112.69,14.77,100,869.8,44.7796,train
527,27.31,109.48,20.26,97,957.2,36.9729,train
528,27.31,112.89,22.83,93,1001.8,51.9303,train
529,27.31,113.08,23.86,99,998.4,55.8048,train
530,27.31,113.62,23.91,98,988.9,49.7675,test
531,27.32,109.06,18.01,81,971,37.0313,train
532,27.32,110.16,21.3,97,982.8,45.2877,train
533,27.32,110.41,13.81,80,857.1,31.5517,train
534,27.32,112.6,18.69,83,994.8,37.1682,train
535,27.32,113.28,24.25,100,985.3,46.4055,test
536,27.33,111.87,22.62,98,977.1,48.4109,train
537,27.33,112.1,21.76,87,995.8,49.2754,train
538,27.33,112.66,22.48,98,992.8,59.0709,train
539,27.33,113.4,21.74,88,995.1,46.2034,train
540,27.34,109.91,22.15,99,982.3,49.1486,test
541,27.34,111.45,21.55,100,975,43.4,train
542,27.34,113.51,23.26,93,997.2,40.354,train
543,27.35,109.84,22.24,100,970.5,48.8425,train
544,27.35,112.59,22.57,99,995.6,52.7085,train
545,27.36,111.09,21.07,99,970.4,31.8938,test
546,27.36,112.78,23.57,96,999.3,53.628,train
547,27.36,113.16,22.1,94,995.9,53.1838,train
548,27.37,109.16,20.71,92,969.5,47.6,train
549,27.37,110.94,20.52,97,973.1,30.348,train
550,27.37,111.67,20.99,98,974.5,31.7516,test
551,27.37,112.52,23.72,99,996.7,53.4207,train
552,27.37,112.82,24.4,100,999.1,57.7053,train
553,27.37,113.21,22.1,94,995.8,53.3688,train
554,27.38,112.03,22.24,94,994.6,54.3887,train
555,27.38,112.23,21.43,94,991.9,47.6443,test
556,27.38,112.57,21.88,96,993.7,49.1119,train
557,27.38,112.99,21.47,88,1003,45.5476,train
558,27.4,109.25,21.15,100,956.8,44.2215,train
559,27.4,110.51,20.24,100,951.6,35.4709,train
560,27.4,111.27,22.51,100,974.8,56.4702,test
561,27.4,111.99,21.06,89,994.1,48.9631,train
562,27.4,112.43,21.84,97,992.7,40.7899,train
563,27.4,113.45,23.77,98,997.2,52.6607,train
564,27.41,109.81,21.17,97,967.7,45.4281,train
565,27.41,112.64,22.39,97,997.4,57.1641,test
566,27.41,113.34,23.47,95,985.4,50.7396,train
567,27.42,110.61,19.99,100,948.5,35.5719,train
568,27.42,113.09,22.66,94,1002.1,55.9185,train
569,27.43,109.36,21.34,99,971.8,43.5935,train
570,27.43,112.11,22.81,97,996.2,47.1496,test
571,27.43,113.04,22.62,91,1003.1,50.1757,train
572,27.44,111.43,20.17,93,977.1,39.647,train
573,27.44,111.97,21.19,89,992.4,45.8314,train
574,27.44,112.14,21.96,90,997.6,32.6019,train
575,27.44,113.16,22.52,94,999.2,53.7436,test
576,27.45,109.68,21.26,95,978.5,43.0104,train
577,27.45,109.76,22.1,100,979.3,54.8114,train
578,27.45,111.18,21.43,97,972.6,49.8885,train
579,27.45,112.17,21.56,94,990.9,50.3,train
580,27.46,109.95,20.97,92,981.9,46.04,test
581,27.46,113.39,22.94,94,994.2,54.4953,train
582,27.47,111.73,20.37,100,930.2,35.1539,train
583,27.47,112.43,21.7,94,993,44.1488,train
584,27.47,112.73,22.07,91,997.4,49.7879,train
585,27.47,113.53,24.65,95,999.3,50.0842,test
586,27.48,112.19,21.58,89,999.1,45.2791,train
587,27.49,111.93,12.93,56,970.3,20.5054,train
588,27.49,112.27,22.94,100,991.5,43.796,train
589,27.49,113.23,24.1,100,999.4,63.1423,train
590,27.49,113.6,26.11,100,998.6,46.1143,test
591,27.5,112.83,22.06,95,995.5,47.1902,train
592,27.5,113.01,21.49,87,999,43.5661,train
593,27.51,109.45,21.02,100,967.8,45.1626,train
594,27.51,111.57,18.78,85,969.4,39.8043,train
595,27.51,113.49,23.24,89,998.9,36.9184,test
596,27.52,110.18,21.08,96,982.9,43.7433,train
597,27.52,111.76,19.36,100,930.3,46.0593,train
598,27.52,112.1,21.77,92,996.7,48.6434,train
599,27.53,110.35,20.43,96,978,42.9679,train
600,27.53,110.77,14.17,78,861.9,32.9722,test
601,27.53,112.23,21.83,90,1000.3,42.7237,train
602,27.53,112.34,21.37,92,992.5,46.9517,train
603,27.53,112.51,22.48,98,997.4,56.4808,train
604,27.53,113,21.49,87,994.2,46.1953,train
605,27.53,113.14,22.34,91,1002.8,46.1561,test
606,27.53,113.28,24.1,100,997,43.4915,train
607,27.55,111.68,20.21,87,986.1,48.1747,train
608,27.55,113.16,21.49,87,1002.5,44.6874,train
609,27.56,112.01,21.61,88,996.5,47.732,train
610,27.56,112.92,20.89,82,1000.2,44.3916,test
611,27.57,111.37,21.96,100,974.3,52.8243,train
612,27.57,113.36,25.17,100,999,46.9573,train
613,27.58,111.02,19.18,93,947.8,41.5322,train
614,27.58,111.81,20.58,87,988.7,43.3088,train
615,27.58,112.09,21.83,94,994.2,43.3256,test
616,27.58,112.65,23.04,98,997.7,54.9007,train
617,27.59,110.28,21.23,92,989.2,48.5748,train
618,27.59,110.96,18.04,88,938.5,36.5488,train
619,27.59,111.77,19.86,85,982.5,42.9607,train
620,27.59,111.9,21.29,90,989.7,47.7761,test
621,27.59,113.49,23.61,91,999.6,45.3479,train
622,27.59,113.59,25.48,100,997.2,46.842,train
623,27.6,111.48,21.16,94,986.2,42.7863,train
624,27.6,112.35,21.19,89,994.1,55.5432,train
625,27.61,110.03,22.1,100,976.5,43.4457,test
626,27.61,110.1,20.49,91,981.4,41.8015,train
627,27.61,113.1,21.78,86,1003.2,41.693,train
628,27.61,113.14,24.26,97,1000,55.743,train
629,27.62,111.1,20.35,95,977.4,40.8575,train
630,27.62,111.62,22.15,99,981.8,48.2726,test
631,27.62,112.71,23.53,97,999.9,52.1252,train
632,27.63,110.6,21.04,97,978.5,43.9154,train
633,27.63,111.69,21.33,93,983.2,49.0139,train
634,27.63,111.93,21.12,86,993,48.2062,train
635,27.63,112.24,23.24,97,999.9,44.8899,test
636,27.63,112.25,5.57,24,1000.4,10.0193,train
637,27.63,112.38,21.63,92,998.6,46.4458,train
638,27.63,113.24,24.36,98,1001.4,53.0048,train
639,27.64,110.32,21.43,97,987.6,36.2038,train
640,27.64,112.34,21.69,90,999.1,49.3983,test
641,27.64,112.58,19.15,84,978.2,40.8236,train
642,27.64,112.63,21.08,88,995.6,41.8459,train
643,27.64,113.37,17.8,69,1001.8,29.6809,train
644,27.64,113.51,20.76,81,999.6,52.2,train
645,27.65,111.56,19.59,87,970.7,41.239,test
646,27.65,112,25.81,75,991.7,46.5413,train
647,27.66,111.77,21.9,92,989.6,46.2455,train
648,27.66,111.83,22.07,91,985.6,42.5419,train
649,27.66,112.45,21.72,89,1000.9,47.1102,train
650,27.66,113.16,21.99,89,1000.6,52.746,test
651,27.67,109.71,21.42,100,976.7,46.1165,train
652,27.67,109.85,21.61,99,983.2,47.1333,train
653,27.67,110.16,22.1,100,969.8,45.4763,train
654,27.67,113.02,20.26,82,999.6,34.4745,train
655,27.68,113.07,21.52,85,1002.4,42.4227,test
656,27.68,113.18,22.04,86,1003.8,48.545,train
657,27.68,113.46,22.16,87,999.6,47.759,train
658,27.69,110.68,17.94,87,950.4,34.7408,train
659,27.69,111.28,20.77,90,982.2,43.1319,train
660,27.69,112,20.47,86,984.9,44.5,test
661,27.69,112.11,22.34,95,996.9,45.4548,train
662,27.69,112.21,20.75,84,997.4,47.4823,train
663,27.7,109.6,20.99,98,978.1,46.7858,train
664,27.7,111.44,22.43,96,979.9,48.2124,train
665,27.7,111.7,19.97,86,979.9,46.2,test
666,27.7,112.97,22.94,94,997.6,53.9346,train
667,27.71,112.6,22.1,94,993.4,50.8714,train
668,27.71,113.37,23.01,92,998,42.8857,train
669,27.72,111.63,22.2,95,988.7,44.052,train
670,27.72,111.77,21.96,90,993.7,37.659,test
671,27.72,112.34,22.73,92,999.9,49.4635,train
672,27.72,113.32,23.84,93,1001.9,43.4497,train
673,27.73,110.41,22.51,100,992.3,49.3009,train
674,27.73,112,24.61,96,991.1,50.385,train
675,27.73,112.72,21.99,89,1002.5,44.9409,test
676,27.73,113.5,19.22,75,994.8,29.9715,train
677,27.73,113.67,26.11,100,998.2,46.1944,train
678,27.74,110.53,21.55,100,945,42.9664,train
679,27.74,113.05,21.9,92,995.1,49.8097,train
680,27.74,113.11,21.14,84,1003.9,45.3419,test
681,27.75,110.14,22.1,100,988,45.5579,train
682,27.75,110.89,15.49,77,913.8,34.4068,train
683,27.75,111.29,20.36,85,984.4,43.6,train
684,27.75,112.02,21.63,87,993.5,49.2805,train
685,27.75,112.51,22.55,93,998.5,45.8,test
686,27.75,113.27,22.66,94,1000.1,51.3606,train
687,27.76,111.92,23.18,91,989.9,46.2788,train
688,27.76,112.47,22.18,92,999.5,42.9861,train
689,27.76,113.69,23.9,91,992.2,48.2907,train
690,27.77,112.07,22.55,93,995.3,46.4056,test
691,27.77,113.21,19.26,77,1000.3,42.5658,train
692,27.77,113.32,22.52,94,996.7,50.6983,train
693,27.77,113.39,23.66,94,998.2,51.5538,train
694,27.78,111.49,17.57,80,930.6,35.3794,train
695,27.78,111.75,20.61,85,987.7,48.9128,test
696,27.78,111.88,21.01,84,994.8,49.8934,train
697,27.78,111.96,21.47,88,993.2,48.1025,train
698,27.78,112.77,22.45,92,1001.8,48.5167,train
699,27.78,113.29,22.8,94,995.1,51.4066,train
700,27.79,111.06,17.57,81,948.4,33.1517,test
701,27.79,112.95,18.46,72,1002.1,37.6379,train
702,27.79,113.14,21.4,84,1003.6,45.2538,train
703,27.8,112.6,21.61,88,1000.5,45.3007,train
704,27.8,113.16,21.27,83,1003.2,52.1595,train
705,27.8,113.43,24.31,99,996.6,49.3183,test
706,27.81,112.01,21.4,91,992.4,45.251,train
707,27.81,112.32,21.27,91,997.2,51.2745,train
708,27.81,113.04,21.89,87,1001.9,46.1737,train
709,27.81,113.05,22.4,89,1002.3,48.4071,train
710,27.81,113.08,21.64,86,1001.2,50.1068,test
711,27.81,113.22,22.83,93,1001.9,38.9746,train
712,27.82,111.67,23.04,98,966.5,53.071,train
713,27.82,112.22,20.69,88,982.1,44.2215,train
714,27.82,113.11,21.26,85,997.1,44.8767,train
715,27.82,113.23,22.07,91,1001.9,42.1493,test
716,27.83,109.62,19.49,91,955.6,39.0938,train
717,27.83,112.94,20.89,82,1000.7,42.4787,train
718,27.83,113.01,22.79,90,1003.7,51.8932,train
719,27.83,113.35,21.13,91,996.2,51.3089,train
720,27.83,113.47,20.44,88,984.8,36.9919,test
721,27.84,111.85,22.76,95,993.1,45.5582,train
722,27.84,112.52,20.46,87,998.3,39.6927,train
723,27.84,113.17,22.18,86,1004,41.7177,train
724,27.85,110.69,21.82,100,982.8,54.2861,train
725,27.85,111.78,20.5,84,989.7,41.3376,test
726,27.85,112.39,21.93,95,997.4,46.1411,train
727,27.85,113.27,22.28,93,995.1,51.3173,train
728,27.85,113.38,20.47,86,992.1,33.3876,train
729,27.86,109.81,21.61,96,986.8,48.1,train
730,27.86,109.92,21.96,100,981.6,46.3371,test
731,27.86,112.9,22.04,86,1004,41.8944,train
732,27.86,113.23,21.5,92,995.2,51.5354,train
733,27.87,110.01,19.08,88,979.6,34.374,train
734,27.87,110.09,22.1,100,991,46.3179,train
735,27.87,113.17,25.48,100,999.6,52.9195,test
736,27.87,113.62,21.26,85,987.7,41.5784,train
737,27.88,109.45,21.3,97,960.9,35.6486,train
738,27.88,109.7,22.37,100,985.8,46.8247,train
739,27.88,110.4,21.33,93,992.7,49.8775,train
740,27.88,110.73,20.11,100,949.5,43.6693,test
741,27.88,111.37,21.12,95,976.4,47.3888,train
742,27.88,111.65,18.08,86,940.7,38.4645,train
743,27.88,112.83,22.26,89,1000.9,45.729,train
744,27.88,113.07,21.85,89,1003,44.01,train
745,27.88,113.12,21.61,88,998,48.5252,test
746,27.88,113.43,23.81,100,993.5,49.8898,train
747,27.88,113.49,21.63,92,992.6,50.4823,train
748,27.89,109.55,17.02,82,962.3,29.1241,train
749,27.89,109.64,21.82,100,984.5,46.0368,train
750,27.89,109.89,22.8,100,990.9,49.1482,test
751,27.89,111.52,20.26,97,958.3,39.2374,train
752,27.89,112.53,20.86,86,997.7,30.1444,train
753,27.89,112.59,23.38,97,993.5,45.2854,train
754,27.89,112.97,21.02,81,1000.7,43.3489,train
755,27.9,113.21,22.12,89,1002.7,43.0973,test
756,27.91,109.31,19.51,97,931.1,35.7624,train
757,27.91,110.6,22.24,100,985.7,45.4,train
758,27.91,111.85,20.24,85,987.7,41.2857,train
759,27.91,113.69,21.15,82,997.8,35.7671,train
760,27.92,109.61,22.1,100,969.6,41.0475,test
761,27.92,111.97,20.52,90,979.1,41.2706,train
762,27.92,112.12,19.51,84,986.3,34.6872,train
763,27.92,112.43,24.25,100,990.5,62.5373,train
764,27.92,112.59,21.12,86,997.9,35.4186,train
765,27.92,112.96,26.27,100,1003.8,46.2088,test
766,27.92,113.52,20.54,89,986.8,46.598,train
767,27.93,113.07,21.36,87,1002,47.4499,train
768,27.94,112.3,21.32,89,988,58.3822,train
769,27.94,113,21.78,86,1003.5,48.4642,train
770,27.94,113.25,21.96,90,997.6,48.328,test
771,27.95,109.6,20.2,92,969.4,46.4,train
772,27.95,110.77,20.95,96,976.6,43.2246,train
773,27.95,110.84,19.99,100,973.4,40.5752,train
774,27.95,113.14,21.99,89,1002.7,45.2479,train
775,27.95,113.18,23.18,95,1001.9,44.8374,test
776,27.95,113.66,20.13,81,991.1,45.1305,train
777,27.96,109.99,21.88,99,988.6,46.4037,train
778,27.96,110.16,22.9,98,994.5,41.9866,train
779,27.96,112.47,19.52,79,995.5,37.2305,train
780,27.96,113.17,22.8,94,1001.7,51.1032,test
781,27.97,110.29,23.08,100,992.7,50.6671,train
782,27.97,110.34,22.06,98,989.8,33.467,train
783,27.97,112.32,21.89,87,995.7,52.8869,train
784,27.97,113.23,21.96,90,999.2,41.5262,train
785,27.98,109.35,18.83,96,933.3,37.9148,test
786,27.98,111.66,21.02,100,951.2,38.9546,train
787,27.98,113.73,22.87,92,993.3,49.7413,train
788,27.99,109.51,20.39,97,964.2,44.5389,train
789,27.99,112.01,21.33,93,979.3,53.494,train
790,27.99,112.98,20.74,78,1004.3,41.0769,test
791,28,109.8,20.82,96,975.9,43.7074,train
792,28,109.89,21.55,100,983.9,46.6781,train
793,28,112.12,21.08,88,994.2,46.0939,train
794,28,112.46,21.73,93,995,48.1607,train
795,28,113.19,25.17,100,1001.4,48.9518,test
796,28,113.43,21.69,90,998.4,47.2119,train
797,28,113.77,21.27,84,996.8,38.7254,train
798,28.01,110,21.34,99,980.1,47.544,train
799,28.01,110.19,22.06,95,991.8,47.3,train
800,28.01,112.98,22.98,93,1001.9,47.5992,test
801,28.02,109.52,19.63,97,956.7,35.4992,train
802,28.02,111.28,22.51,100,986.9,49.9449,train
803,28.02,112.5,20.49,85,993.7,41.931,train
804,28.03,110.44,20.6,98,951.4,42.2061,train
805,28.03,112.03,19.85,86,968.6,45.4368,test
806,28.03,112.26,21.29,90,992.5,56.188,train
807,28.03,112.38,20.87,85,998.7,35.6165,train
808,28.03,112.79,22.12,89,1002.6,43.1111,train
809,28.04,109.46,20.89,100,938.9,37.6343,train
810,28.04,111.09,22.34,98,985.3,51.0517,test
811,28.04,111.83,21.15,100,973.6,47.3999,train
812,28.04,112.99,22.67,89,999.9,50.1181,train
813,28.05,110.76,21.69,100,981.1,43.6032,train
814,28.05,112.64,21.58,89,1000.1,43.7602,train
815,28.05,113,22.45,86,998.1,43.9596,test
816,28.05,113.93,20.88,84,991.7,30.7969,train
817,28.06,111.76,20.37,100,968,35.1539,train
818,28.07,109.38,18.79,94,917.6,36.8285,train
819,28.07,110.09,23.37,100,992.3,38.2705,train
820,28.07,112.92,23.47,95,1004.3,48.9801,test
821,28.07,113.12,21.63,87,995.4,51.7866,train
822,28.07,113.56,21.26,85,1000.2,39.1993,train
823,28.07,113.99,20.47,86,987.8,45.2522,train
824,28.08,109.75,16.7,82,961.3,31.1448,train
825,28.08,111.37,20.99,95,978.7,47.9699,test
826,28.08,112.99,21.93,84,1001.4,46.2932,train
827,28.08,113.47,23.72,96,997.3,53.9076,train
828,28.09,113.18,22.7,88,1002.9,44.6801,train
829,28.09,113.87,20.93,89,986.6,45.1324,train
830,28.1,109.6,17.67,83,969.3,40.6708,test
831,28.1,111.58,22.1,100,984.4,56.1195,train
832,28.1,111.94,18.7,81,976.2,39.8741,train
833,28.1,112.74,23.44,92,1000.8,42.6799,train
834,28.1,112.86,21.38,86,1000.4,45.7016,train
835,28.11,109.89,21.02,100,963.9,39.1005,test
836,28.11,112.79,23.09,97,994.6,40.6737,train
837,28.11,112.93,21.02,81,1003.1,44.1343,train
838,28.11,113.03,21.8,84,998.4,47.4981,train
839,28.12,112.23,19.89,81,996.4,33.8804,train
840,28.12,112.98,21.54,82,999.2,44.9574,test
841,28.13,109.73,20.9,94,985.5,43.7305,train
842,28.13,109.89,20.94,99,967,43.0108,train
843,28.13,112.03,20.62,91,987.5,46.5986,train
844,28.13,112.67,24.1,100,999.7,49.3951,train
845,28.13,112.9,20.61,78,1004.5,41.7052,test
846,28.13,112.92,21.8,81,1005,42.8979,train
847,28.13,113.37,21.78,86,993.4,43.9198,train
848,28.14,111.66,21.47,99,987.1,46.1828,train
849,28.14,112.96,20.75,79,999,41.9772,train
850,28.14,112.99,20.76,80,997.7,37.1955,test
851,28.15,109.38,20.24,100,914,30.7791,train
852,28.16,109.73,22.8,100,987.5,49.1482,train
853,28.16,110.64,21.07,99,969.3,43.9226,train
854,28.16,112.98,25.65,93,997.9,47.3021,train
855,28.16,113.63,20.64,82,996.5,52,test
856,28.17,109.61,19.47,87,980.7,35.3839,train
857,28.17,109.95,21.12,98,981.9,46.7742,train
858,28.17,110.21,21.88,99,989.8,39.6571,train
859,28.17,112.94,20.99,78,1004.5,43.9675,train
860,28.17,113.1,22.07,82,1004.2,44.4473,test
861,28.17,113.13,21.67,81,1003.9,47.6615,train
862,28.18,109.46,16.27,84,921.2,20.9577,train
863,28.18,112.76,21.65,85,1000,47.2245,train
864,28.18,113.85,21.34,88,995.3,39.6305,train
865,28.19,110.11,21.39,98,970,46.2689,test
866,28.19,111.96,16.01,72,940.3,23.118,train
867,28.19,112.52,21.96,90,1000.6,44.9255,train
868,28.19,112.94,22.33,80,1002.5,50.5285,train
869,28.19,112.97,21.12,78,1002.3,43.2074,train
870,28.19,113.02,23.99,87,1004.6,54.5825,test
871,28.19,113.52,21.96,100,960.4,44.1996,train
872,28.2,109.83,21.02,100,965.4,37.0532,train
873,28.2,109.98,17.67,83,966.4,40.6029,train
874,28.2,112.91,22.21,82,1004.1,42.6452,train
875,28.2,112.92,21.39,79,1004.2,47.1029,test
876,28.2,113,20.78,74,1004.1,42.0298,train
877,28.2,113.05,22.17,78,1004.7,47.3506,train
878,28.2,114.08,20.88,84,981.5,37.2884,train
879,28.21,109.56,18.53,86,973.5,29.5795,train
880,28.21,109.67,26.59,97,976.1,48.8953,test
881,28.21,109.7,21.7,97,976.1,44.5949,train
882,28.21,109.81,22.16,96,986.8,49.1869,train
883,28.21,110.23,21.55,100,984.5,49.9173,train
884,28.21,112.73,21.38,86,1000.6,45.7545,train
885,28.21,112.96,20.83,76,1004.1,43.0742,test
886,28.21,113.03,22.47,81,1004.5,47.0554,train
887,28.21,113.06,21.8,84,1001.8,43.8566,train
888,28.21,113.2,20.89,82,996.6,45.9,train
889,28.22,110.09,20.95,96,973.4,45.1208,train
890,28.22,112.11,21.48,96,980.3,53.9574,test
891,28.22,112.26,20.25,84,995.1,40.5528,train
892,28.22,112.8,23.13,87,1000.1,48.4575,train
893,28.22,112.94,21.51,78,1003.3,48.739,train
894,28.22,113.11,20.73,77,1001.9,35.9561,train
895,28.22,113.19,20.49,78,1000.2,30.9842,test
896,28.23,109.57,18.99,87,931.8,35.2609,train
897,28.23,110.29,22.37,100,990.3,33.0011,train
898,28.23,112.69,21.83,90,1003,41.3067,train
899,28.23,112.96,21.49,77,1004,46.8875,train
900,28.23,113.01,21.09,76,1003.9,39.9415,test
901,28.23,113.06,20.98,77,1001.5,39.9073,train
902,28.24,109.68,21.1,92,980,45.1,train
903,28.24,110.02,22.11,97,993.8,51.269,train
904,28.24,112.72,22.1,90,1000.5,41.4782,train
905,28.24,112.97,20.85,77,1004.7,44.6913,test
906,28.24,113,21.91,78,1004.8,46.56,train
907,28.24,113.01,21.51,78,1004.8,46.9046,train
908,28.25,110.83,21.74,99,977.7,41.5465,train
909,28.25,111.71,22.51,100,992.3,51.652,train
910,28.25,112.54,22.3,87,999.6,44.5,test
911,28.25,113.08,20.47,72,1001.5,43.0719,train
912,28.26,109.64,22.2,98,984.7,47.88,train
913,28.26,109.92,22.3,96,992.7,54.7174,train
914,28.26,111.79,21.55,100,982.4,50.6107,train
915,28.26,112.96,23.17,83,1003.8,52.089,test
916,28.26,112.98,21.26,79,1004.8,44.2711,train
917,28.26,113.16,20.75,79,1001.5,35.2821,train
918,28.27,112.83,22.04,86,1002.6,38.9866,train
919,28.27,114.09,20.38,83,984.8,44.1258,train
920,28.28,109.68,22.24,100,978.9,46.4264,test
921,28.28,109.79,22.02,96,988.3,48.086,train
922,28.28,109.83,22.39,97,986.8,53.8792,train
923,28.28,112.55,19.68,74,1000.5,38.2428,train
924,28.28,112.68,21.15,82,1001.7,35.3281,train
925,28.28,112.85,22.42,88,1001,33.1457,test
926,28.28,112.91,20.41,74,1002.3,40.9773,train
927,28.28,112.97,21.26,79,1004.2,42.3317,train
928,28.28,113.91,21.96,90,993.3,39.9089,train
929,28.29,110.32,22.1,100,990.5,40.8696,train
930,28.29,111.29,20.01,94,975.5,45.7198,test
931,28.29,112.23,23.24,97,993.6,46.0551,train
932,28.29,112.79,22.99,99,987.2,51.7118,train
933,28.29,112.85,21.94,83,1003.5,45.3234,train
934,28.29,113.18,21.27,80,1002.1,37.7706,train
935,28.3,109.74,22.06,95,976.9,50.2106,test
936,28.3,112.14,20.6,86,988.6,37.0906,train
937,28.3,112.92,20.83,76,1004.1,41.7355,train
938,28.3,113.43,23.07,90,1000,42.5871,train
939,28.31,109.68,22.51,100,977,49.1336,train
940,28.31,109.77,21.88,96,980.2,45.3583,test
941,28.31,112.49,22.16,87,999.8,26.2254,train
942,28.31,112.89,21.37,77,1003.4,42.5082,train
943,28.31,112.91,21.06,75,1003.7,39.8443,train
944,28.31,113.8,23.73,92,997.7,46.98,train
945,28.32,109.59,21.33,93,982.2,48.0309,test
946,28.32,109.65,21.15,100,962.5,35.2543,train
947,28.32,109.82,21.69,100,975.9,40.4002,train
948,28.32,111.29,22.43,99,989.2,39.9678,train
949,28.32,112.07,20.29,89,992.1,45.727,train
950,28.32,112.07,19.28,81,996,34.2075,test
951,28.32,112.72,22.04,86,1003.3,42.2949,train
952,28.32,112.87,21.67,81,1003,41.5254,train
953,28.32,112.92,23.72,86,1004.6,54.7855,train
954,28.32,113.31,22.16,87,1000.8,40.742,train
955,28.33,110.52,20.99,98,977.6,47.6541,test
956,28.33,112.41,19.27,78,999,32.7372,train
