Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV
57264,2025/6/3 0:00,32.43,111.02,1017.5,十堰市,武当山,丹江口市,12.14,51,897.8,20.3,19.2105
57351,2025/6/3 0:00,30.83,111.02,231,宜昌市,坛子岭,夷陵区,21.69,100,982.7,18.8,59.2455
57352,2025/6/3 0:00,30.81,111,185.3,宜昌市,三斗坪,夷陵区,20.17,93,987.9,18.8,41.4015
57353,2025/6/3 0:00,30.84,111.02,191.8,宜昌市,苏家坳,夷陵区,21.56,94,987.2,19.7,53.9625
57354,2025/6/3 0:00,31.46,110.27,2948.1,省直辖县级行政区划,神农顶,神农架林区,5.97,63,714.2,6.2,7.943
57367,2025/6/3 0:00,31.08,110.94,1910,宜昌市,大老岭,夷陵区,8.31,52,808.4,14,14.7995
57451,2025/6/3 0:00,30.81,110.25,1813.5,恩施土家族苗族自治州,绿葱坡,巴东县,7.47,45,818,14.6,20.7175
57544,2025/6/3 0:00,29.46,109.44,478.6,湘西土家族苗族自治州,龙山,龙山县,20.74,91,954.8,19.6,42.104
57554,2025/6/3 0:00,29.4,110.16,318.8,张家界市,桑植,桑植县,21.23,92,972.6,19.8,37.4333
57558,2025/6/3 0:00,29.12,110.42,218.5,张家界市,张家界,永定区,22.71,99,983.8,19.7,52.8881
57562,2025/6/3 0:00,29.58,111.36,116.9,常德市,石门,石门县,21.8,81,994.6,22.3,45.5692
57564,2025/6/3 0:00,29.43,111.09,168.7,张家界市,慈利,慈利县,23.66,94,988.1,21.2,53.4638
57565,2025/6/3 0:00,29.67,111.73,38.1,常德市,澧县,澧县,23.45,83,1003.6,23.1,42.3446
57566,2025/6/3 0:00,29.47,111.67,86,常德市,临澧,临澧县,24.1,89,997.7,22.4,46.4265
57574,2025/6/3 0:00,29.35,112.43,40.3,益阳市,南县,南县,26.49,99,1003.6,22.2,60.1432
57575,2025/6/3 0:00,29.54,112.6,49.5,岳阳市,华容,华容县,21.94,81,1002.5,22.4,49.2944
57577,2025/6/3 0:00,29.41,112.2,33.6,常德市,安乡,安乡县,25.57,95,1004.3,22.3,48.425
57584,2025/6/3 0:00,29.38,113.09,53,岳阳市,岳阳,岳阳楼区,25.22,92,1002.4,22.6,47.0123
57585,2025/6/3 0:00,29.48,113.45,60.4,岳阳市,临湘,临湘市,23.95,94,1001.2,21.4,57.9879
57587,2025/6/3 0:00,29.19,113.11,48.4,岳阳市,洞庭湖,岳阳县,23.51,94,1002.7,21.1,39.0776
57640,2025/6/3 0:00,28.54,109.46,532.8,湘西土家族苗族自治州,花垣,花垣县,19.93,96,949.1,18.1,44.5014
57642,2025/6/3 0:00,28.68,109.65,438.1,湘西土家族苗族自治州,保靖,保靖县,20.82,96,959.9,18.8,51.5166
57643,2025/6/3 0:00,29.01,109.84,268.2,湘西土家族苗族自治州,永顺,永顺县,21.63,92,978.5,20.1,46.1085
57646,2025/6/3 0:00,28.68,109.98,294,湘西土家族苗族自治州,古丈,古丈县,22.66,100,973.2,19.5,41.8818
57649,2025/6/3 0:00,28.24,109.68,254.6,湘西土家族苗族自治州,吉首,吉首市,21.1,92,980,19.7,47.0248
57655,2025/6/3 0:00,28.46,110.4,151.6,怀化市,沅陵,沅陵县,23.08,100,991.7,19.8,43.6056
57657,2025/6/3 0:00,28.21,110.23,216.4,湘西土家族苗族自治州,泸溪,泸溪县,21.55,100,984.5,18.7,49.9173
57658,2025/6/3 0:00,28.01,110.19,152.8,怀化市,辰溪,辰溪县,22.06,95,991.8,19.9,46.3567
57661,2025/6/3 0:00,28.91,111.48,48.7,常德市,桃源,桃源县,22.04,86,1002.7,21.5,51.0266
57662,2025/6/3 0:00,29.12,111.68,150.6,常德市,常德,武陵区,21.61,88,990.8,20.8,47.3629
57663,2025/6/3 0:00,28.92,111.96,31.9,常德市,汉寿,汉寿县,22.44,87,1004.3,21.6,47.2782
57666,2025/6/3 0:00,28.51,112.17,136.9,益阳市,桃江,桃江县,20.76,83,992.5,21.1,39.8609
57669,2025/6/3 0:00,28.38,111.25,196,益阳市,安化,安化县,20.95,88,986.2,20.3,44.0889
57671,2025/6/3 0:00,28.8,112.37,40,益阳市,沅江,沅江市,26,99,1003.7,21.9,47.6817
57673,2025/6/3 0:00,28.73,112.93,63,岳阳市,湘阴,湘阴县,24.54,94,1001.2,21.8,45.5784
57674,2025/6/3 0:00,28.55,112.37,118.1,益阳市,赫山,赫山区,21.53,84,994.8,21.5,40.2396
57678,2025/6/3 0:00,28.25,112.54,71.3,长沙市,宁乡,宁乡市,22.04,86,999.6,21.5,32.3019
57679,2025/6/3 0:00,28.21,113.2,101.4,长沙市,长沙黄花,长沙县,21.27,83,996.6,21.5,39.9624
57680,2025/6/3 0:00,28.86,113.11,82.5,岳阳市,汨罗,汨罗市,21.28,82,999.5,21.7,45.3794
57682,2025/6/3 0:00,28.71,113.57,106.3,岳阳市,平江,平江县,24.86,100,996.3,21,46.7449
57687,2025/6/3 0:00,28.11,112.79,119,长沙市,长沙,岳麓区,23.09,97,994.6,20.3,40.6737
57688,2025/6/3 0:00,28.16,113.63,101.1,长沙市,浏阳,浏阳市,21.02,83,996.5,21.3,39.173
57740,2025/6/3 0:00,27.95,109.6,349.6,湘西土家族苗族自治州,凤凰,凤凰县,20.2,92,969.4,19,44.0179
57743,2025/6/3 0:00,27.86,109.81,195.6,怀化市,麻阳,麻阳苗族自治县,21.61,96,986.8,19.4,47.89
57744,2025/6/3 0:00,27.37,109.16,355.5,怀化市,新晃,新晃侗族自治县,20.71,92,969.4,19.4,41.3138
57745,2025/6/3 0:00,27.45,109.68,272.2,怀化市,芷江,芷江侗族自治县,21.26,95,978.5,19.3,43.0104
57749,2025/6/3 0:00,27.61,110.03,286.9,怀化市,怀化,鹤城区,22.1,100,976.5,19.1,43.4457
57752,2025/6/3 0:00,27.91,110.6,204,怀化市,溆浦,溆浦县,22.24,100,985.7,19.2,56.0331
57754,2025/6/3 0:00,27.21,109.84,252,怀化市,洪江,洪江市,20.74,91,980.4,19.6,40.3878
57758,2025/6/3 0:00,27.03,110.61,339.5,邵阳市,洞口,洞口县,22.1,100,969.8,19.1,40.5397
57760,2025/6/3 0:00,27.7,111.44,249.2,娄底市,冷水江,冷水江市,22.43,96,979.9,20,48.2124
57761,2025/6/3 0:00,27.75,111.29,211.9,娄底市,新化,新化县,20.12,84,984.4,20.4,42.5303
57762,2025/6/3 0:00,27.71,111.68,249.2,娄底市,涟源,涟源市,20.1,86,979.9,20,34.2896
57763,2025/6/3 0:00,27.69,112,205.8,娄底市,娄底,娄星区,20.24,85,984.9,20.3,37.9357
57765,2025/6/3 0:00,27.32,110.41,1386.6,怀化市,雪峰山,洪江市,13.81,80,857.1,15.2,31.5517
57766,2025/6/3 0:00,27.18,111.45,311,邵阳市,邵阳,大祥区,21.12,95,973.3,19.2,46.8137
57767,2025/6/3 0:00,27.13,111.01,308.4,邵阳市,隆回,隆回县,20.04,89,973.3,19.4,25.5921
57768,2025/6/3 0:00,27.34,111.45,294.1,邵阳市,新邵,新邵县,21.69,100,974.9,18.8,32.4216
57769,2025/6/3 0:00,27.22,111.77,301.5,邵阳市,邵东,邵东市,22.51,100,974.1,19.4,47.2609
57771,2025/6/3 0:00,27.89,112.59,127.6,湘潭市,韶山,韶山市,23.38,97,993.5,20.5,45.2854
57772,2025/6/3 0:00,27.75,112.51,85.1,湘潭市,湘乡,湘乡市,22.55,93,998.5,20.6,41.4417
57773,2025/6/3 0:00,27.88,112.83,63.8,湘潭市,湘潭观测站,雨湖区,22.26,89,1000.9,21.1,45.729
57774,2025/6/3 0:00,27.46,112.22,152.5,娄底市,双峰,双峰县,21.56,94,990.9,19.7,50.1431
57776,2025/6/3 0:00,27.3,112.69,1265.9,衡阳市,南岳,南岳区,14.77,100,869.8,12.8,44.7796
57777,2025/6/3 0:00,27.26,112.84,159.1,衡阳市,衡山,衡山县,22.73,92,990,20.9,57.4765
57778,2025/6/3 0:00,27.05,112.98,109.4,衡阳市,衡东,衡东县,23.64,90,995.3,21.9,60.0561
57779,2025/6/3 0:00,27.06,113.35,115.2,株洲市,攸县,攸县,24.81,98,994.6,21.3,50.9268
57780,2025/6/3 0:00,27.87,113.17,74.6,株洲市,株洲,荷塘区,25.48,100,999.6,21.4,52.9195
57781,2025/6/3 0:00,27.64,113.51,72.7,株洲市,醴陵,醴陵市,21.02,82,999.6,21.5,37.1318
57841,2025/6/3 0:00,26.56,109.67,320.3,怀化市,靖州,靖州苗族侗族自治县,21.39,95,972.2,19.4,43.8557
57842,2025/6/3 0:00,26.88,109.72,281.4,怀化市,会同,会同县,20.54,89,976.9,19.8,45.5773
57845,2025/6/3 0:00,26.17,109.78,397.5,怀化市,通道,通道侗族自治县,19.57,88,963.5,19.2,43.0977
57846,2025/6/3 0:00,26.59,110.14,382,邵阳市,绥宁,绥宁县,20.77,94,965.3,19.1,41.7984
57851,2025/6/3 0:00,26.46,110.83,346.1,邵阳市,新宁,新宁县,22.24,100,969.3,19.2,53.3335
57853,2025/6/3 0:00,26.74,110.64,341,邵阳市,武冈,武冈市,19.73,86,969.9,19.7,35.2034
57857,2025/6/3 0:00,26.37,110.31,477.7,邵阳市,城步,城步苗族自治县,19.83,92,954.8,18.7,41.438
57860,2025/6/3 0:00,27.03,111.32,354.4,邵阳市,邵阳县,邵阳县,21.79,98,968.1,19.2,46.7709
57865,2025/6/3 0:00,26.5,111.62,192.8,永州市,冷水滩,冷水滩区,22.45,92,986.6,20.7,52.9886
57866,2025/6/3 0:00,26.23,111.62,172.6,永州市,永州,零陵区,22.24,94,988.8,20.2,48.2504
57867,2025/6/3 0:00,26.4,111.29,169,永州市,东安,东安县,21.87,88,988.9,21,46.5962
57868,2025/6/3 0:00,26.55,111.86,163.3,永州市,祁阳,祁阳市,22.48,91,989.7,20.9,49.7451
57870,2025/6/3 0:00,26.76,112.08,218.9,衡阳市,祁东,祁东县,22.52,94,983.3,20.4,50.135
57871,2025/6/3 0:00,26.97,112.37,90.8,衡阳市,衡阳县,衡阳县,21.8,84,997.8,21.7,44.2491
57872,2025/6/3 0:00,26.98,112.59,118.5,衡阳市,衡阳,石鼓区,20.89,81,994.5,21.6,39.4623
57874,2025/6/3 0:00,26.41,112.39,116.6,衡阳市,常宁,常宁市,21.27,83,994.9,21.5,54.8883
57875,2025/6/3 0:00,26.76,112.69,137,衡阳市,衡南,衡南县,22.97,88,992.2,21.8,52.248
57876,2025/6/3 0:00,26.43,112.83,135,衡阳市,耒阳,耒阳市,21.87,88,992.7,21,43.4777
57881,2025/6/3 0:00,26.71,113.28,192.7,郴州市,安仁,安仁县,23.96,100,986,20.4,58.0711
57882,2025/6/3 0:00,26.79,113.54,133.2,株洲市,茶陵,茶陵县,22.16,87,992.1,21.4,40.7357
57886,2025/6/3 0:00,26.48,113.79,255.3,株洲市,炎陵,炎陵县,18.81,79,977.2,20.3,34.0408
57887,2025/6/3 0:00,26.12,113.11,167.5,郴州市,永兴,永兴县,22.73,86,988.8,22,49.1368
57889,2025/6/3 0:00,26.08,113.94,834.1,郴州市,桂东,桂东县,18.42,75,914.5,20.8,36.1514
57962,2025/6/3 0:00,26.03,111.66,205,永州市,双牌,双牌县,23.51,100,984.8,20.1,59.9352
57965,2025/6/3 0:00,25.53,111.6,192.2,永州市,道县,道县,22.14,93,986.2,20.3,41.9245
57966,2025/6/3 0:00,25.59,111.96,244.2,永州市,宁远,宁远县,21.93,91,980.3,20.5,55.4696
57969,2025/6/3 0:00,25.28,111.31,259.4,永州市,江永,江永县,21.66,98,977.4,19.1,50.6321
57971,2025/6/3 0:00,25.91,112.21,224.2,永州市,新田,新田县,23.91,98,982.7,20.7,48.8385
57972,2025/6/3 0:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.91,97,966.4,18.7,46.1373
57973,2025/6/3 0:00,25.75,112.72,329.1,郴州市,桂阳,桂阳县,19.75,84,971,20.1,43.4905
57974,2025/6/3 0:00,25.58,112.37,214.5,郴州市,嘉禾,嘉禾县,24.1,100,983.8,20.5,44.5623
57975,2025/6/3 0:00,25.4,112.17,345.9,永州市,蓝山,蓝山县,22.1,100,969,19.1,56.7816
57976,2025/6/3 0:00,25.41,112.94,222.8,郴州市,宜章,宜章县,21.25,86,982.6,20.9,36.9028
57978,2025/6/3 0:00,25.27,112.55,292,郴州市,临武,临武县,20.77,90,974.8,19.8,43.7716
57981,2025/6/3 0:00,25.97,113.22,139.3,郴州市,资兴,资兴市,23.22,94,991.9,20.9,55.6598
57985,2025/6/3 0:00,25.51,113.68,645.6,郴州市,汝城,汝城县,20.24,100,935.5,17.7,45.0605
59063,2025/6/3 0:00,25.18,111.57,265.7,永州市,江华,江华瑶族自治县,21.23,92,977.3,19.8,52.8903
